V01,P001,L01,いづれの御時にか女御更衣あまたさふらひ給ける
V01,P001,L02,なかに。いとやむごとなききはにはあらぬが。
V01,P001,L03,すぐれてときめき給ふありけりはじめよりわれ
V01,P001,L04,はと思ひあがり給へる御かた＋＋＄。めざましきもの
V01,P001,L05,におとしめそねみ給。おなしほど。それより
V01,P001,L06,下らうの更衣たちはましてやすからずあさゆふ
V01,P001,L07,のみやづかへにつけても。人のこゝろをうごかし。う
V01,P001,L08,らみをおふつもりにやありけむいとあづしく
V01,P001,L09,なりゆきもの心ぼそげにさとがちなるをいよ＋＋
V01,P001,L10,あかずあはれなるものにおほゝして。人のそし
V01,P001,L11,りをもえはゞからせ給はず。世のためしにもなり
V01,P002,L01,ぬべき御もてなしなり。かんだちめ。うへ人＄なども。
V01,P002,L02,あひなくめをそばめつゝいとまばゆき人の御覚え
V01,P002,L03,なりもろこしにもかゝることのをごりにこそ世も
V01,P002,L04,みだれあしかりけれと。やう＋＋あめのしたにも
V01,P002,L05,あぢきなう人のもてなやみぐさになりて楊貴
V01,P002,L06,妃のためしもひきいでつべうなりゆくに。いと
V01,P002,L07,はしたなきことおほかれどかたじけなき御心ばへの
V01,P002,L08,たぐひなきをたのみにてまじらひ給ちゝの大納言
V01,P002,L09,はなくなりてはゝ北のかたなんいにしへの人のよしあ
V01,P002,L10,るにておやうちぐしさしあたりて世の覚え花
V01,P002,L11,やかなる御かた＋＋＄にもおとらず。何事＄のぎしき
V01,P003,L01,をももてなし給けれど。とりたてゝはか＋＋＄し
V01,P003,L02,き御うしろみしなければ。ことある時はなをより
V01,P003,L03,所なく心ぼそげなりさきの世にも御ちぎりやふか
V01,P003,L04,かりけん世になくきよらなるたまのおのこみこ
V01,P003,L05,さへむまれ給ぬいつしかと心もとながらせ給て
V01,P003,L06,いそぎまいらせて御覧ずるにめづらかなるちご
V01,P003,L07,の御かたちなり一のみこは右大臣の女御の御はら
V01,P003,L08,にて。よせおもくうたがひなきまうけのきみと。
V01,P003,L09,世にもてかしづき聞ゆれどこの御にほひにはなら
V01,P003,L10,び給べくもあらざりければ。おほかたのやんごとなき
V01,P003,L11,御おもひにてこのきみをばわたくしものにおほゝし
V01,P004,L01,かしづき給事かぎりなしはじめよりをしなべ
V01,P004,L02,てのうへ宮づかへし給べききはにはあらざりき
V01,P004,L03,おぼえいとやむごとなく上ずめかしけれどわり
V01,P004,L04,なくまつはさせ給あまりに。さるべき御あそびの
V01,P004,L05,おり＋＋。なに事＄にもゆへあることのふし＋＋＄には。
V01,P004,L06,まづまうのぼらせ給ふある時にはおほとのご
V01,P004,L07,もりすぐして。やがてさふらはせ給など。あながち
V01,P004,L08,におまへさらずもてなさせ給し程にをのづから
V01,P004,L09,かろきかたにもみえじをこのみこむまれ給て
V01,P004,L10,のちはいと心ことにおもほしをきてたれば坊にも
V01,P004,L11,ようせずはこのみこのゐ給べきなめりと一の
V01,P005,L01,みこの女御はおぼしうたがへり人よりさきに
V01,P005,L02,まいり給て。やむごとなき御思ひなべてならず。
V01,P005,L03,みこたちなどもおはしませば此御かたの御いさめを
V01,P005,L04,のみぞなをわづらはしく心ぐるしう思ひ聞えさせ
V01,P005,L05,給けるかしこき御かげをばたのみきこえながらおと
V01,P005,L06,しめきずをもとめ給ふ人はおほくわが身はかよ
V01,P005,L07,はく。ものはかなきありさまにて。なか＋＋なるもの
V01,P005,L08,おもひをぞし給ふ御つぼねはきりつぼなりあまた
V01,P005,L09,の御かた＋＋＄をすぎさせ給つゝ。ひまなき御まへわ
V01,P005,L10,たりに人の御こゝろをつくし給もげにことはり
V01,P005,L11,とみえたり。まうのぼり給にも。あまりうちしきる
V01,P006,L01,おり＋＋はうちはしわた殿こゝかしこのみちに
V01,P006,L02,あやしきわざをしつゝ。御をくりむかへの人のきぬ
V01,P006,L03,のすそたへがたう。まさなきことゞもあり。又ある
